No.	Time	Source		Destination	Protocol Length	Info
761	18.173	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
763	18.180	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
765	18.187	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
767	18.190	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
769	18.197	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
771	18.211	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
773	18.218	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
775	18.219	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
777	18.230	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
779	18.231	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
781	18.241	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
783	18.250	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
785	18.259	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
787	18.262	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
789	18.268	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
791	18.281	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
793	18.289	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
795	18.296	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
797	18.301	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
